Gene	Transcripts
SLC35E2B	NM_001110781.1
SLC35E3	NM_018656.2
SLC35E4	NM_001001479.2
SLC35F1	NM_001029858.3
SLC35F2	NM_017515.4
SLC35F3	NM_173508.2
SLC35F4	NM_001206920.1
SLC35F5	NM_025181.2
SLC35G1	NM_001134658.1
SLC35G3	NM_152462.2
SLC35G5	NM_054028.1
SLC35G6	NM_001102614.1
SLC36A1	NM_078483.2
SLC36A2	NM_181776.2
SLC36A3	NM_181774.3
SLC36A4	NM_152313.2
SLC37A1	NM_018964.3
SLC37A2	NM_198277.2
SLC37A3	NM_207113.1
SLC37A4	NM_001164279.1
SLC38A1	NM_001077484.1
SLC38A10	NM_001037984.1
SLC38A11	NM_001199148.1
SLC38A2	NM_018976.4
SLC38A3	NM_006841
SLC38A4	NM_001143824.1
SLC38A5	NM_033518.2
SLC38A6	NM_001172702.1
SLC38A7	NM_018231.1
SLC38A8	NM_001080442.1
SLC38A9	NM_173514.3
SLC39A1	NM_014437.4
SLC39A10	NM_001127257.1
SLC39A11	NM_001159770.1
SLC39A12	NM_001145195.1
SLC39A13	NM_001128225.2
SLC39A14	NM_001135153.1
SLC39A2	NM_014579.3
SLC39A3	NM_144564.4
SLC39A4	NM_130849.3
SLC39A5	NM_173596.2
SLC39A6	NM_012319.3
SLC39A7	NM_001077516.1
SLC39A8	NM_001135146.1
SLC39A9	NM_018375.4
SLC3A1	NM_000341.3
SLC3A2	NM_002394.5
SLC40A1	NM_014585.5
SLC41A1	NM_173854.4
SLC41A2	NM_032148.3
SLC41A3	NM_001008485.1
SLC43A1	NM_001198810.1
SLC43A2	NM_152346.1
SLC43A3	NM_017611.2
SLC44A1	NM_080546.3
SLC44A2	NM_020428.3
SLC44A3	NM_001114106.2
SLC44A4	NM_025257.2
SLC44A5	NM_152697.4
SLC45A1	NM_001080397.1
SLC45A2	NM_016180.3
SLC45A3	NM_033102.2
SLC45A4	NM_001080431.1
SLC46A1	NM_080669.4
SLC46A2	NM_033051.3
SLC46A3	NM_001135919.1
SLC47A1	NM_018242.2
SLC47A2	NM_001099646.1
SLC48A1	NM_017842.2
SLC4A1	NM_000342.3
SLC4A10	NM_001178015.1
SLC4A11	NM_001174090.1
SLC4A1AP	NM_018158.2
SLC4A2	NM_003040.3
SLC4A3	NM_005070.3
SLC4A4	NM_001134742.1
SLC4A5	NM_021196.3
SLC4A7	NM_003615.4
SLC4A8	NM_001039960.2
SLC4A9	NM_031467.2
SLC50A1	NM_018845.3
SLC5A1	NM_000343.3
SLC5A10	NM_001042450.2
SLC5A11	NM_052944.3
SLC5A12	NM_178498.3
SLC5A2	NM_003041.3
SLC5A3	NM_006933.4
SLC5A4	NM_014227.2
SLC5A5	NM_000453.2
SLC5A6	NM_021095.2
SLC5A7	NM_021815.2
SLC5A8	NM_145913.3
SLC5A9	NM_001011547.2
SLC6A1	NM_003042.3
SLC6A11	NM_014229.1
SLC6A12	NM_001206931.1
SLC6A13	NM_016615.4
SLC6A14	NM_007231.3
SLC6A15	NM_182767.5
SLC6A16	NM_014037.2
SLC6A17	NM_001010898.2
SLC6A18	NM_182632.2
SLC6A19	NM_001003841.2
SLC6A2	NM_001172504.1
SLC6A20	NM_020208.3
SLC6A3	NM_001044.4
SLC6A4	NM_001045.5
SLC6A5	NM_004211.3
SLC6A6	NM_001134367.2
SLC6A7	NM_014228.3
SLC6A8	NM_005629.3
SLC6A9	NM_201649.3
SLC7A1	NM_003045.4
SLC7A10	NM_019849.2
SLC7A11	NM_014331.3
SLC7A13	NM_138817.2
SLC7A14	NM_020949.2
SLC7A2	NM_001164771.1
SLC7A3	NM_032803.5
SLC7A4	NM_004173.2
SLC7A5	NM_003486.5
SLC7A6	NM_003983.5
SLC7A6OS	NM_032178.2
SLC7A7	NM_001126106.2
SLC7A8	NM_012244.3
SLC7A9	NM_001243036.1
SLC8A1	NM_021097.2
SLC8A2	NM_015063.2
SLC8A3	NM_183002.1
SLC9A1	NM_003047.4
SLC9A2	NM_003048.3
SLC9A3	NM_004174.2
SLC9A3R1	NM_004252.4
SLC9A3R2	NM_001130012.2
SLC9A4	NM_001011552.3
SLC9A5	NM_004594.2
SLC9A6	NM_001042537.1
SLC9A7	NM_032591.2
SLC9A8	NM_015266.2
SLC9A9	NM_173653.3
SLC9B1	NM_139173.3
SLC9B2	NM_178833.4
SLCO1A2	NM_021094.3
SLCO1B1	NM_006446.4
SLCO1B3	NM_019844.3
SLCO1C1	NM_017435.4
SLCO2A1	NM_005630.2
SLCO2B1	NM_007256.4
SLCO3A1	NM_013272.3
SLCO4A1	NM_016354.3
SLCO4C1	NM_180991.4
SLCO5A1	NM_030958.2
SLCO6A1	NM_173488.3
SLFN11	NM_001104589.1
SLFN12	NM_018042.3
SLFN12L	NM_001195790.1
SLFN13	NM_144682.5
SLFN14	NM_001129820.1
SLFN5	NM_144975.3
SLFNL1	NM_144990.3
SLIRP	NM_031210.5
SLIT1	NM_003061.2
SLIT2	NM_004787.1
SLIT3	NM_003062.3
SLITRK1	NM_052910.2
SLITRK2	NM_001144009.2
SLITRK3	NM_014926.2
SLITRK4	NM_001184749.2
SLITRK5	NM_015567.1
SLITRK6	NM_032229.2
SLK	NM_014720.2
SLMAP	NM_007159.2
SLMO1	NM_006553.3
SLMO2	NM_016045.2
SLN	NM_003063.2
SLPI	NM_003064.3
SLTM	NM_024755.2
SLU7	NM_006425.4
SLURP1	NM_020427.2
SLX1B	NM_024044.3
SLX4	NM_032444.2
SMAD1	NM_005900.2
SMAD2	NM_001003652.3
SMAD3	NM_005902.3
SMAD4	NM_005359.5
SMAD5	NM_001001420.1
SMAD6	NM_005585.4
SMAD7	NM_005904.3
SMAD9	NM_001127217.2
SMAGP	NM_001031628.1
SMAP1	NM_001044305.2
SMAP2	NM_022733.2
SMARCA1	NM_003069.3
SMARCA2	NM_003070.3
SMARCA4	NM_003072.3
SMARCA5	NM_003601.3
SMARCAD1	NM_001128430.1
SMARCAL1	NM_001127207.1
SMARCB1	NM_003073.3
SMARCC1	NM_003074.3
SMARCC2	NM_003075.3
SMARCD1	NM_003076.4
SMARCD2	NM_001098426.1
SMARCD3	NM_001003801.1
SMARCE1	NM_003079.4
SMC1A	NM_006306.3
SMC1B	NM_148674.3
SMC2	NM_006444.2
SMC3	NM_005445.3
SMC4	NM_001002800.1
SMC5	NM_015110.3
SMC6	NM_024624.5
SMCHD1	NM_015295.2
SMCP	NM_030663.2
SMCR7	NM_148886.1
SMCR7L	NM_019008.4
SMCR8	NM_144775.2
SMCR9	NM_001243312
SMEK1	NM_032560.4
SMEK2	NM_020463.2
SMG1	NM_015092.4
SMG5	NM_015327.2
SMG6	NM_017575.4
SMG7	NM_201569.2
SMG8	NM_018149.6
SMG9	NM_019108.2
SMN2	NM_017411.3
SMNDC1	NM_005871.3
SMO	NM_005631.4
SMOC1	NM_001034852.2
SMOC2	NM_022138.2
SMOX	NM_175839.2
SMPD1	NM_000543.4
SMPD2	NM_003080.2
SMPD3	NM_018667.3
SMPD4	NM_017751.4
SMPDL3A	NM_006714.3
SMPDL3B	NM_014474.2
SMPX	NM_014332.2
SMR3A	NM_012390.3
SMS	NM_004595.4
SMTN	NM_001207017.1
SMTNL1	NM_001105565.2
SMTNL2	NM_001114974.1
SMU1	NM_018225.2
SMUG1	NM_001243788.1
SMURF1	NM_181349.2
SMURF2	NM_022739.3
SMYD1	NM_198274.3
SMYD2	NM_020197.2
SMYD3	NM_001167740.1
SMYD4	NM_052928.2
SMYD5	NM_006062.2
SNAI1	NM_005985.3
SNAI2	NM_003068.4
SNAI3	NM_178310.3
SNAP23	NM_003825.3
SNAP25	NM_003081.3
SNAP29	NM_004782.3
SNAP47	NM_053052.3
SNAP91	NM_001242792.1
SNAPC1	NM_003082.3
SNAPC2	NM_003083.3
SNAPC3	NM_001039697.1
SNAPC4	NM_003086.2
SNAPC5	NM_006049.2
SNAPIN	NM_012437.5
SNCA	NM_000345.3
SNCAIP	NM_005460.2
SNCB	NM_003085.3
SNCG	NM_003087.2
SND1	NM_014390.2
SNED1	NM_001080437.1
SNF8	NM_007241.2
SNIP1	NM_024700.3
SNN	NM_003498.5
SNPH	NM_014723.2
SNRK	NM_001100594.1
SNRNP200	NM_014014.4
SNRNP25	NM_024571.3
SNRNP27	NM_006857.2
SNRNP35	NM_180699.3
SNRNP40	NM_004814.2
SNRNP48	NM_152551.3
SNRNP70	NM_003089.4
SNRPA	NM_004596.4
SNRPA1	NM_003090.2
SNRPB	NM_198216.1
SNRPB2	NM_198220.2
SNRPC	NM_003093.2
SNRPD1	NM_006938.2
SNRPD2	NM_004597.5
SNRPD3	NM_004175.4
SNRPE	NM_003094.2
SNRPF	NM_003095.2
SNRPG	NM_003096.2
SNRPN	NM_022805.2
SNTA1	NM_003098.2
SNTB1	NM_021021.3
SNTB2	NM_006750.3
SNTG1	NM_018967.2
SNTG2	NM_018968.3
SNTN	NM_001080537.1
SNUPN	NM_001042588.1
SNURF	NM_022804.2
SNW1	NM_012245.2
SNX1	NM_001242933.1
SNX10	NM_001199835.1
SNX11	NM_013323.2
SNX12	NM_013346.3
SNX13	NM_015132.4
SNX14	NM_153816.3
SNX15	NM_147777.3
SNX16	NM_152836.2
SNX17	NM_014748.3
SNX18	NM_001102575.1
SNX19	NM_014758.2
SNX2	NM_003100.3
SNX20	NM_182854.2
SNX21	NM_033421.2
SNX22	NM_024798.2
SNX24	NM_014035.2
SNX25	NM_031953.2
SNX27	NM_030918.5
SNX29	NM_032167.3
SNX3	NM_003795.4
SNX30	NM_001012994.1
SNX31	NM_152628.3
SNX32	NM_152760.2
SNX33	NM_153271.1
SNX4	NM_003794.3
SNX5	NM_014426.2
SNX6	NM_152233.2
SNX7	NM_015976.4
SNX8	NM_013321.2
SNX9	NM_016224.4
SOAT1	NM_003101.5
SOAT2	NM_003578.3
SOBP	NM_018013.3
SOCS1	NM_003745.1
SOCS2	NM_003877.4
SOCS3	NM_003955.4
SOCS4	NM_080867.2
SOCS5	NM_014011.4
SOCS6	NM_004232.3
SOCS7	NM_014598.2
SOD1	NM_000454.4
SOD2	NM_001024465.1
SOD3	NM_003102.2
SOHLH1	NM_001101677.1
SOLH	NM_005632.2
SON	NM_138927.2
SORBS1	NM_001034954.1
SORBS2	NM_021069.4
SORBS3	NM_005775.4
SORCS1	NM_001013031.2
SORCS2	NM_020777.2
SORCS3	NM_014978.1
SORD	NM_003104.5
SORL1	NM_003105.5
SORT1	NM_002959.5
SOS1	NM_005633.3
SOS2	NM_006939.2
SOST	NM_025237.2
SOSTDC1	NM_015464.2
SOWAHA	NM_175873.4
SOWAHB	NM_001029870.1
SOWAHC	NM_023016.3
SOWAHD	NM_001105576.2
SOX1	NM_005986.2
SOX10	NM_006941.3
SOX11	NM_003108.3
SOX12	NM_006943.3
SOX13	NM_005686.2
SOX14	NM_004189.3
SOX15	NM_006942.1
SOX17	NM_022454.3
SOX18	NM_018419.2
SOX2	NM_003106.3
SOX21	NM_007084.2
SOX3	NM_005634.2
SOX30	NM_178424.1
SOX4	NM_003107.2
SOX5	NM_006940.4
SOX6	NM_001145819.1
SOX7	NM_031439.3
SOX8	NM_014587.3
SOX9	NM_000346.3
SP1	NM_138473.2
SP100	NM_001080391.1
SP110	NM_080424.2
SP140	NM_007237.4
SP140L	NM_138402.4
SP2	NM_003110.5
SP3	NM_003111.4
SP4	NM_003112.3
SP5	NM_001003845.2
SP6	NM_199262.2
SP7	NM_152860.1
SP8	NM_182700.4
SP9	NM_001145250.1
SPA17	NM_017425.3
SPACA1	NM_030960.2
SPACA3	NM_173847.3
SPACA4	NM_133498.2
SPACA5	NM_205856.2
SPACA7	NM_145248.4
SPAG1	NM_172218.2
SPAG11B	NM_058203.2
SPAG16	NM_024532.4
SPAG17	NM_206996.2
SPAG4	NM_003116.1
SPAG5	NM_006461.3
SPAG6	NM_012443.3
SPAG7	NM_004890.2
SPAG8	NM_001039592.1
SPAG9	NM_001130528.2
SPAM1	NM_003117.4
SPANXA1	NM_013453.2
SPANXB2	NM_145664.1
SPANXC	NM_022661.2
SPANXE	NM_145665.1
SPANXN1	NM_001009614.2
SPANXN2	NM_001009615.1
SPANXN3	NM_001009609.2
SPANXN4	NM_001009613.2
SPANXN5	NM_001009616.3
SPARC	NM_003118.3
SPARCL1	NM_004684.4
SPAST	NM_014946.3
SPATA12	NM_181727.1
SPATA13	NM_001166271.1
SPATA16	NM_031955.5
SPATA17	NM_138796.2
SPATA18	NM_145263.2
SPATA19	NM_174927.1
SPATA2	NM_006038.3
SPATA20	NM_022827.3
SPATA21	NM_198546.1
SPATA22	NM_001170697.1
SPATA24	NM_194296.1
SPATA25	NM_080608.3
SPATA2L	NM_152339.3
SPATA3	NM_139073.3
SPATA4	NM_144644.2
SPATA5	NM_145207.2
SPATA5L1	NM_024063.2
SPATA6	NM_019073.2
SPATA7	NM_018418.4
SPATA8	NM_173499.3
SPATA9	NM_031952.3
SPATC1	NM_198572.2
SPATS1	NM_145026.3
SPATS2	NM_023071.3
SPATS2L	NM_001100423.1
SPC24	NM_182513.2
SPC25	NM_020675.3
SPCS1	NM_014041.3
SPCS2	NM_014752.2
SPCS3	NM_021928.3
SPDEF	NM_012391.2
SPDYA	NM_001142634.1
SPDYC	NM_001008778.1
SPDYE1	NM_175064.2
SPDYE2L	NM_001166339.1
SPDYE3	NM_001004351.4
SPDYE4	NM_001128076.1
SPDYE5	NM_001099435.2
SPDYE6	NM_001146210
SPECC1	NM_001243439.1
SPECC1L	NM_001145468.3
SPEF1	NM_015417.4
SPEF2	NM_024867.3
SPEG	NM_005876.4
SPEM1	NM_199339.2
SPEN	NM_015001.2
SPERT	NM_152719.1
SPESP1	NM_145658.3
SPG11	NM_025137.3
SPG20	NM_015087.4
SPG21	NM_016630.3
SPG7	NM_003119.2
SPHAR	NM_006542.3
SPHK1	NM_182965.2
SPHK2	NM_001204159.2
SPHKAP	NM_001142644.1
SPI1	NM_001080547.1
SPIB	NM_003121.4
SPIC	NM_152323.1
SPICE1	NM_144718.3
SPIN1	NM_006717.2
SPIN2A	NM_019003.3
SPIN2B	NM_001006681.1
SPIN3	NM_001010862.2
SPIN4	NM_001012968.2
SPINK1	NM_003122.3
SPINK13	NM_001040129.2
SPINK14	NM_001001325.1
SPINK2	NM_021114.3
SPINK4	NM_014471.1
SPINK5	NM_001127698.1
SPINK6	NM_001195290.1
SPINK7	NM_032566.2
SPINK8	NM_001080525.1
SPINK9	NM_001040433.1
SPINT1	NM_003710.3
SPINT2	NM_021102.3
SPINT3	NM_006652.1
SPINT4	NM_178455.1
SPIRE1	NM_001128626.1
SPIRE2	NM_032451.1
SPN	NM_001030288.2
SPNS1	NM_001142448.1
SPNS2	NM_001124758.1
SPNS3	NM_182538.4
SPO11	NM_012444.2
SPOCD1	NM_144569.4
SPOCK1	NM_004598.3
SPOCK2	NM_001244950.1
SPOCK3	NM_016950.2
SPON1	NM_006108.3
SPON2	NM_012445.3
SPOP	NM_001007228.1
SPOPL	NM_001001664.2
SPP1	NM_001040058.1
SPP2	NM_006944.2
SPPL2A	NM_032802.3
SPPL2B	NM_152988
SPPL3	NM_139015.4
SPR	NM_003124.4
SPRED1	NM_152594.2
SPRED2	NM_181784.2
SPRED3	NM_001042522.2
SPRN	NM_001012508.3
SPRR1A	NM_005987.3
SPRR1B	NM_003125.2
SPRR2A	NM_005988.2
SPRR2B	NM_001017418.1
SPRR2D	NM_006945.4
SPRR2E	NM_001024209.2
SPRR2F	NM_001014450.1
SPRR2G	NM_001014291.3
SPRR3	NM_001097589.1
SPRR4	NM_173080.1
SPRY1	NM_199327.2
SPRY2	NM_005842.2
SPRY3	NM_005840.1
SPRY4	NM_001127496.1
SPRYD3	NM_032840.2
SPRYD4	NM_207344.3
SPRYD7	NM_020456.2
SPSB1	NM_025106.3
SPSB2	NM_001146316.1
SPSB3	NM_080861.3
SPSB4	NM_080862.1
SPTA1	NM_003126.2
SPTAN1	NM_001130438.2
SPTB	NM_001024858.2
SPTBN1	NM_003128.2
SPTBN2	NM_006946.2
SPTBN4	NM_020971.2
SPTBN5	NM_016642.3
SPTLC1	NM_006415.3
SPTLC2	NM_004863.3
SPTLC3	NM_018327.2
SPTSSA	NM_138288.3
SPTSSB	NM_001040100.1
SPTY2D1	NM_194285.2
SPZ1	NM_032567.3
SQLE	NM_003129.3
SQRDL	NM_021199.3
SQSTM1	NM_003900.4
SRA1	NM_001253764
SRBD1	NM_018079.4
SRC	NM_198291.2
SRCAP	NM_006662.2
SRCIN1	NM_025248.2
SRCRB4D	NM_080744.1
SRD5A1	NM_001047.2
SRD5A2	NM_000348
SRD5A3	NM_024592.4
SREBF1	NM_001005291.2
SREBF2	NM_004599.3
SREK1	NM_001077199.2
SREK1IP1	NM_173829.3
SRF	NM_003131.2
SRFBP1	NM_152546.2
SRGAP1	NM_020762.2
SRGAP2	NM_015326.3
SRGAP3	NM_014850.3
SRGN	NM_002727.2
SRI	NM_003130.3
SRL	NM_001098814.1
SRM	NM_003132.2
SRMS	NM_080823.2
SRP14	NM_003134.4
SRP19	NM_001204199.1
SRP54	NM_003136.3
SRP68	NM_014230.3
SRP72	NM_006947.3
SRP9	NM_003133.5
SRPK1	NM_003137.4
SRPK2	NM_182692.2
SRPK3	NM_014370.3
SRPR	NM_003139.3
SRPRB	NM_021203.3
SRPX	NM_006307.4
SRPX2	NM_014467.2
SRR	NM_021947.1
SRRD	NM_001013694.2
SRRM1	NM_005839.3
SRRM2	NM_016333.3
SRRM3	NM_001110199.1
SRRM4	NM_194286.3
SRRM5	NM_001145641.1
SRRT	NM_015908.5
SRSF1	NM_006924.4
SRSF10	NM_054016.2
SRSF11	NM_004768.3
SRSF12	NM_080743.4
SRSF2	NM_003016.4
SRSF3	NM_003017.4
SRSF4	NM_005626.4
SRSF5	NM_006925.3
SRSF6	NM_006275.5
SRSF7	NM_001031684.2
SRSF8	NM_032102.3
SRSF9	NM_003769.2
SRXN1	NM_080725.2
SRY	NM_003140.2
SS18	NM_001007559.1
SS18L1	NM_198935.1
SS18L2	NM_016305.2
SSB	NM_003142.4
SSBP1	NM_003143.2
SSBP2	NM_012446.3
SSBP3	NM_145716.3
SSBP4	NM_001009998.3
SSC5D	NM_001144950.1
SSFA2	NM_001130445.1
SSH1	NM_018984.3
SSH2	NM_033389.2
SSH3	NM_017857.3
SSNA1	NM_003731.2
SSPN	NM_005086.4
SSPO	NM_198455
SSR1	NM_003144.3
SSR2	NM_003145.3
SSR3	NM_007107.3
SSR4	NM_001204527.1
SSRP1	NM_003146.2
SSSCA1	NM_006396.1
SST	NM_001048.3
SSTR1	NM_001049.2
SSTR2	NM_001050.2
SSTR3	NM_001051.3
SSTR4	NM_001052.2
SSTR5	NM_001172560.1
SSU72	NM_014188.2
SSX1	NM_005635.3
SSX2	NM_003147.5
SSX2IP	NM_001166293.1
SSX3	NM_021014.3
SSX4	NM_005636.3
SSX4B	NM_001034832.3
SSX5	NM_175723.1
SSX7	NM_173358.2
ST13	NM_003932.4
ST14	NM_021978.3
ST18	NM_014682.2
ST3GAL1	NM_173344.2
ST3GAL2	NM_006927.3
ST3GAL3	NM_174963.3
ST3GAL4	NM_001254757.1
ST3GAL5	NM_003896.3
ST3GAL6	NM_006100.3
ST5	NM_213618.1
ST6GAL1	NM_003032.2
ST6GAL2	NM_032528.2
ST6GALNAC1	NM_018414.3
ST6GALNAC2	NM_006456.2
ST6GALNAC3	NM_152996.2
ST6GALNAC4	NM_175039.3
ST6GALNAC5	NM_030965.1
ST6GALNAC6	NM_013443.3
ST7	NM_021908.2
ST7L	NM_017744.4
ST8SIA1	NM_003034.3
ST8SIA2	NM_006011.3
ST8SIA3	NM_015879.2
ST8SIA4	NM_005668.5
ST8SIA5	NM_013305.4
ST8SIA6	NM_001004470.1
STAB1	NM_015136.2
STAB2	NM_017564.9
STAC	NM_003149.1
STAC2	NM_198993.3
STAC3	NM_145064.1
STAG1	NM_005862.2
STAG2	NM_001042749.1
STAG3	NM_012447.2
STAM	NM_003473.3
STAM2	NM_005843.4
STAMBP	NM_201647.2
STAMBPL1	NM_020799.3
STAP1	NM_012108.2
STAP2	NM_017720.2
STAR	NM_000349.2
STARD10	NM_006645.2
STARD13	NM_178006.3
STARD3	NM_006804.3
STARD3NL	NM_032016.3
STARD4	NM_139164.1
STARD5	NM_181900.2
STARD6	NM_139171.1
STARD7	NM_020151.3
STARD8	NM_001142503.2
STARD9	NM_020759.2
STAT1	NM_007315.3
STAT2	NM_005419.3
STAT3	NM_139276.2
STAT4	NM_001243835.1
STAT5A	NM_003152.3
STAT5B	NM_012448.3
STAT6	NM_003153.4
STATH	NM_003154.2
STAU1	NM_017453.2
STAU2	NM_001164380.1
STBD1	NM_003943.4
STC1	NM_003155.2
STC2	NM_003714.2
STEAP1	NM_012449.2
STEAP1B	NM_001164460.1
STEAP2	NM_152999.3
STEAP3	NM_001008410.1
STEAP4	NM_024636.3
STH	NM_001007532.2
STIL	NM_001048166.1
STIM1	NM_003156.3
STIM2	NM_001169118.1
STIP1	NM_006819.2
STK10	NM_005990.3
STK11	NM_000455.4
STK11IP	NM_052902.2
STK16	NM_001008910.2
STK17A	NM_004760.2
STK17B	NM_004226.3
STK19	NM_004197.1
STK24	NM_001032296.2
STK25	NM_006374.4
STK3	NM_006281.3
STK31	NM_031414.4
STK32A	NM_001112724.1
STK32B	NM_018401.1
STK32C	NM_173575.2
STK33	NM_030906.2
STK35	NM_080836.3
STK36	NM_015690.4
STK38	NM_007271.2
STK38L	NM_015000.3
STK39	NM_013233.2
STK4	NM_006282.2
STK40	NM_032017.1
STMN1	NM_001145454.1
STMN2	NM_001199214.1
STMN3	NM_015894.3
STMN4	NM_030795.2
STOM	NM_004099.5
STOML1	NM_004809.4
STOML2	NM_013442.1
STOML3	NM_145286.2
STON1-GTF2A1L	NM_001198594.1
STON2	NM_033104.3
STOX1	NM_001130162.2
STOX2	NM_020225.1
STRA13	NM_144998.3
STRA6	NM_001199042.1
STRA8	NM_182489.1
STRADA	NM_001003787.2
STRADB	NM_018571.5
STRAP	NM_007178.3
STRBP	NM_018387.4
STRC	NM_153700.2
STRN	NM_003162.3
STRN3	NM_001083893.1
STRN4	NM_001039877.1
STS	NM_000351.4
STT3A	NM_152713.4
STT3B	NM_178862.1
STUB1	NM_005861.2
STX10	NM_003765.2
STX11	NM_003764.3
STX12	NM_177424.2
STX16	NM_001001433.2
STX17	NM_017919.2
STX18	NM_016930.2
STX19	NM_001001850.2
STX1A	NM_004603.3
STX1B	NM_052874.3
STX2	NM_194356.2
STX3	NM_004177.4
STX4	NM_004604.4
STX5	NM_003164.4
STX6	NM_005819.4
STX7	NM_003569.2
STX8	NM_004853.2
STXBP1	NM_003165.3
STXBP2	NM_006949.3
STXBP3	NM_007269.2
STXBP4	NM_178509.5
STXBP5	NM_139244.4
STXBP5L	NM_014980.2
STXBP6	NM_014178.6
STYK1	NM_018423.2
STYX	NM_001130701.1
STYXL1	NM_016086.2
SUB1	NM_006713.3
SUCLA2	NM_003850.2
SUCLG1	NM_003849.3
SUCLG2	NM_003848.3
SUCNR1	NM_033050.4
SUDS3	NM_022491.2
SUFU	NM_016169.3
SUGP1	NM_172231.3
SUGP2	NM_014884.3
SUGT1	NM_001130912.1
SULF1	NM_001128204.1
SULF2	NM_018837.3
SULT1A1	NM_177530.2
SULT1A2	NM_001054.3
SULT1A3	NM_177552.3
SULT1B1	NM_014465.3
SULT1C2	NM_176825.2
SULT1C3	NM_001008743.1
SULT1C4	NM_006588.2
SULT1E1	NM_005420.2
SULT2A1	NM_003167.3
SULT2B1	NM_177973.1
SULT4A1	NM_014351.3
SULT6B1	NM_001032377.1
SUMF1	NM_182760.3
SUMF2	NM_001130069.2
SUMO1	NM_001005781.1
SUMO2	NM_006937.3
SUMO3	NM_006936.2
SUMO4	NM_001002255.1
SUN1	NM_001130965.2
SUN2	NM_015374.2
SUN3	NM_152782.3
SUN5	NM_080675.3
SUOX	NM_001032387.1
SUPT16H	NM_007192.3
SUPT3H	NM_003599.3
SUPT4H1	NM_003168.2
SUPT5H	NM_001130824.1
SUPT6H	NM_003170.3
SUPT7L	NM_014860.1
SUPV3L1	NM_003171.3
SURF1	NM_003172.3
SURF2	NM_017503.4
SURF4	NM_033161.3
SURF6	NM_006753.5
SUSD1	NM_022486.3
SUSD2	NM_019601.3
SUSD3	NM_145006.2
SUSD4	NM_017982.3
SUSD5	NM_015551.1
SUV39H1	NM_003173.2
SUV39H2	NM_001193424.1
SUV420H1	NM_017635.3
SUV420H2	NM_032701.3
SUZ12	NM_015355.2
SV2A	NM_014849.4
SV2B	NM_014848.4
SV2C	NM_014979.1
SVEP1	NM_153366.3
SVIL	NM_021738.2
SVIP	NM_148893.1
SVOP	NM_018711.2
SVOPL	NM_001139456.1
SWAP70	NM_015055.2
SWI5	NM_001040011.1
SWSAP1	NM_175871.3
SWT1	NM_001105518.1
SYAP1	NM_032796.3
SYBU	NM_001099754.1
SYCE1	NM_001143764.1
SYCE1L	NM_001129979.1
SYCE2	NM_001105578.1
SYCE3	NM_001123225.1
SYCN	NM_001080468.2
SYCP1	NM_003176.2
SYCP2	NM_014258.2
SYCP2L	NM_001040274.2
SYCP3	NM_001177948.1
SYDE1	NM_033025.4
SYDE2	NM_032184.1
SYF2	NM_015484.4
SYK	NM_003177.5
SYMPK	NM_004819.2
SYN1	NM_006950.3
SYN2	NM_133625
SYN3	NM_003490.3
SYNC	NM_030786.2
SYNCRIP	NM_006372.4
SYNDIG1	NM_024893.2
SYNDIG1L	NM_001105579.1
SYNE1	NM_182961.3
SYNE2	NM_182914.2
SYNGAP1	NM_006772.2
SYNGR2	NM_004710.3
SYNGR3	NM_004209.5
SYNGR4	NM_012451.3
SYNJ1	NM_003895.3
SYNJ2	NM_003898.3
SYNJ2BP-COX16	NM_001202547
SYNM	NM_145728.2
SYNPO	NM_001166208.1
SYNPO2	NM_133477.2
SYNPO2L	NM_001114133.1
SYNPR	NM_001130003.1
SYNRG	NM_007247.4
SYP	NM_003179.2
SYPL1	NM_006754.3
SYPL2	NM_001040709.1
SYS1	NM_033542.3
SYT1	NM_001135806.1
SYT10	NM_198992.3
SYT11	NM_152280.4
SYT12	NM_177963.3
SYT13	NM_020826.2
SYT14	NM_001146261.2
SYT15	NM_031912.4
SYT16	NM_031914.2
SYT17	NM_016524.2
SYT2	NM_177402.4
SYT3	NM_001160329.1
SYT4	NM_020783.3
SYT5	NM_003180.2
SYT7	NM_001252065.1
SYT8	NM_138567.3
SYT9	NM_175733.3
SYTL1	NM_001193308.1
SYTL2	NM_206927.2
SYTL3	NM_001242384.1
SYTL4	NM_001174068.1
SYTL5	NM_001163334.1
SYVN1	NM_172230.2
SZT2	NM_015284.3
T	NM_003181.3
TAAR1	NM_138327.1
TAAR2	NM_001033080.1
TAAR5	NM_003967.2
TAAR6	NM_175067.1
TAAR8	NM_053278.1
TAAR9	NM_175057.3
TAB1	NM_006116.2
TAB2	NM_015093.4
TAB3	NM_152787.3
TAC1	NM_003182.2
TAC3	NM_013251.3
TAC4	NM_170685.2
TACC1	NM_006283.2
TACC2	NM_206862.2
TACC3	NM_006342.2
TACO1	NM_016360.3
TACR1	NM_001058.3
TACR2	NM_001057.2
TACR3	NM_001059.2
TACSTD2	NM_002353.2
TADA1	NM_053053.3
TADA2A	NM_001166105.1
TADA2B	NM_152293.2
TADA3	NM_006354.3
TAF1	NM_004606.3
TAF10	NM_006284.3
TAF11	NM_005643.3
TAF12	NM_005644.3
TAF13	NM_005645.3
TAF15	NM_139215.2
TAF1A	NM_001201536.1
TAF1B	NM_005680.2
TAF1C	NM_001243156.1
TAF1D	NM_024116.3
TAF1L	NM_153809.2
TAF2	NM_003184.3
